Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7iDFtUGfnA2tjx7OinLkzO,"Precious Little Diamond","In The Dark Of The Nite","Fox the Fox",1984-01-31,312190,33,false,gijsdehuu,2026-03-28T14:45:34Z,"italo disco","Sony Music Entertainment",0.785,0.625,1,-9.601,0,0.0424,0.014,0.000393,0.0607,0.816,115.879,4
spotify:track:1uI848raFaNWwe9HjHpjQ5,"Boys - Summertime Love","Sabrina","Sabrina",1988,234812,65,false,gijsdehuu,2026-03-28T14:45:39Z,"italo disco","Music Manager",0.835,0.679,5,-10.539,0,0.0322,0.137,0.476,0.0611,0.936,119.862,4
spotify:track:2IilSSaVhuQLjCqlubC4qE,"Precious Little Diamond - 12"" Mix","Collections","Fox the Fox",2006-04-21,309840,41,false,gijsdehuu,2026-03-28T14:45:50Z,"italo disco","Sony Music Local",0.813,0.615,1,-5.375,0,0.0898,0.0919,0.0000441,0.0635,0.819,115.909,4
spotify:track:3oLn7p6CF8JvUDPz59t2WF,"Hey Hey Guy (7"" Vocal Version)","Greatest Hits & Remixes","Ken Laszlo",2015-02-13,206600,43,false,gijsdehuu,2026-03-28T14:46:42Z,"italo disco,hi-nrg,italo dance,new wave,disco","ZYX Music",0.726,0.814,9,-7.561,0,0.0322,0.102,0.0000117,0.093,0.97,125.932,4
spotify:track:6kQSM35spjUFSG78wWf4a6,"Future Brain","Overpower","Den Harrow",1986,250608,41,false,gijsdehuu,2026-03-28T14:46:47Z,"italo disco,italo dance,hi-nrg","Sony Music Catalog",0.778,0.569,6,-13.704,1,0.0581,0.13,0.000528,0.11,0.357,120.947,4
spotify:track:05ny0VoHFBDeqAxDRj77jn,"Visitors","Greatest Hits &amp; Remixes","Koto",2015-03-27,212253,46,false,gijsdehuu,2026-03-28T14:47:29Z,"italo disco,hi-nrg,italo dance,polka,chicago house","ZYX Music",0.706,0.844,5,-10.065,1,0.0356,0.0301,0.678,0.106,0.526,119.246,4
spotify:track:16SYkztSdFKFrp6O8yKELK,"It's So Easy In The Night To Get Closer (Valerie","Greatest Hits & Remixes","Valerie Dore",2016-06-03,540106,22,false,gijsdehuu,2026-03-28T14:47:30Z,"italo disco,italo dance,hi-nrg","ZYX Music",0.655,0.664,4,-9.685,0,0.0314,0.0329,0.398,0.119,0.506,112.767,4
spotify:track:4xnhgj0hXY9fBzMctzBe1O,"Pretty Face","Italo Disco 80, Vol. 1","Styloo",2016-03-04,367680,34,false,gijsdehuu,2026-03-28T14:47:36Z,"italo disco,hi-nrg,italo dance","RLT Records",0.837,0.645,7,-9.046,1,0.0332,0.00501,0.218,0.116,0.831,119.672,4
spotify:track:534AZ981klmnGj9v82vHbP,"Charleston","Overpower","Den Harrow",1986,289131,30,false,gijsdehuu,2026-03-28T14:47:38Z,"italo disco,italo dance,hi-nrg","Sony Music Catalog",0.82,0.685,9,-13.219,0,0.0403,0.0944,0.703,0.052,0.978,115.323,4
spotify:track:3ayXGYPPbKtMhzNlMTjjD2,"Dream","Springtime (Deluxe Edition)","P. Lion",2016-10-07,363853,45,false,gijsdehuu,2026-03-28T14:48:18Z,"italo disco,italo dance,hi-nrg","ZYX Music",0.821,0.732,0,-7.038,0,0.0331,0.156,0.237,0.06,0.694,107.156,4
spotify:track:3l77AFnfEw9FS98cTfxukg,"Only One Night (12"" Version)","Only One Night","The Hurricanes",2023-07-21,352248,39,false,gijsdehuu,2026-03-28T14:48:20Z,"italo disco,hi-nrg,italo dance","ZYX Music",0.669,0.834,11,-7.824,0,0.0366,0.00732,0.3,0.0512,0.966,121.635,4
spotify:track:2u6h7XjefNrNxVE8gM2HYo,"Electrica Salsa (Maxi Version)","Organisation For Fun (Deluxe Edition)","OFF",2016-02-05,349546,35,false,gijsdehuu,2026-03-28T14:48:27Z,"italo disco,italo dance,ebm,hi-nrg","ZYX Music",0.88,0.571,10,-8.382,0,0.0961,0.0493,0.118,0.0681,0.36,114.445,4
